"","Monthly.Temperature....Celsius.","Statistics","Country","ISO3","...5"
"92",26.596989," Aug Average"," Afghanistan"," AFG",2028
"93",22.541407," Sep Average"," Afghanistan"," AFG",2028
"94",14.234549," Oct Average"," Afghanistan"," AFG",2028
"95",5.8363147," Nov Average"," Afghanistan"," AFG",2028
"96",0.70255023," Dec Average"," Afghanistan"," AFG",2028
"97",2.9916215," Jan Average"," Afghanistan"," AFG",2029
"98",6.3326845," Feb Average"," Afghanistan"," AFG",2029
"99",10.659557," Mar Average"," Afghanistan"," AFG",2029
"100",14.704056," Apr Average"," Afghanistan"," AFG",2029
"101",19.381344," May Average"," Afghanistan"," AFG",2029
"102",22.159878," Jun Average"," Afghanistan"," AFG",2029
"103",22.832186," Jul Average"," Afghanistan"," AFG",2029
"104",22.171358," Aug Average"," Afghanistan"," AFG",2029
"105",19.17513," Sep Average"," Afghanistan"," AFG",2029
"106",15.268808," Oct Average"," Afghanistan"," AFG",2029
"107",9.424781," Nov Average"," Afghanistan"," AFG",2029
"108",4.246605," Dec Average"," Afghanistan"," AFG",2029
"109",4.046835," Jan Average"," Afghanistan"," AFG",2030
"110",5.3966637," Feb Average"," Afghanistan"," AFG",2030
"111",9.597183," Mar Average"," Afghanistan"," AFG",2030
"112",14.205069," Apr Average"," Afghanistan"," AFG",2030
"113",18.370785," May Average"," Afghanistan"," AFG",2030
"114",21.394335," Jun Average"," Afghanistan"," AFG",2030
"115",21.958773," Jul Average"," Afghanistan"," AFG",2030
"116",21.304092," Aug Average"," Afghanistan"," AFG",2030
"117",18.719751," Sep Average"," Afghanistan"," AFG",2030
"118",14.905948," Oct Average"," Afghanistan"," AFG",2030
"119",8.626536," Nov Average"," Afghanistan"," AFG",2030
"120",4.427515," Dec Average"," Afghanistan"," AFG",2030
"121",-0.1093775," Jan Average"," Afghanistan"," AFG",2031
"122",2.8049521," Feb Average"," Afghanistan"," AFG",2031
"123",8.62697," Mar Average"," Afghanistan"," AFG",2031
"124",14.152898," Apr Average"," Afghanistan"," AFG",2031
"125",19.28551," May Average"," Afghanistan"," AFG",2031
"126",23.46244," Jun Average"," Afghanistan"," AFG",2031
"127",26.220638," Jul Average"," Afghanistan"," AFG",2031
"128",26.228262," Aug Average"," Afghanistan"," AFG",2031
"129",20.75246," Sep Average"," Afghanistan"," AFG",2031
"130",13.819069," Oct Average"," Afghanistan"," AFG",2031
"131",7.3811345," Nov Average"," Afghanistan"," AFG",2031
"132",1.7303094," Dec Average"," Afghanistan"," AFG",2031
"133",4.545784," Jan Average"," Afghanistan"," AFG",2032
"134",7.395264," Feb Average"," Afghanistan"," AFG",2032
"135",12.402123," Mar Average"," Afghanistan"," AFG",2032
"136",17.314293," Apr Average"," Afghanistan"," AFG",2032
"137",22.660833," May Average"," Afghanistan"," AFG",2032
"138",28.649096," Jun Average"," Afghanistan"," AFG",2032
"139",31.005507," Jul Average"," Afghanistan"," AFG",2032
"140",30.012325," Aug Average"," Afghanistan"," AFG",2032
"141",25.41582," Sep Average"," Afghanistan"," AFG",2032
"142",17.497538," Oct Average"," Afghanistan"," AFG",2032
"143",9.172711," Nov Average"," Afghanistan"," AFG",2032
"144",5.4891376," Dec Average"," Afghanistan"," AFG",2032
"145",4.7776146," Jan Average"," Afghanistan"," AFG",2033
"146",6.7114396," Feb Average"," Afghanistan"," AFG",2033
"147",12.568733," Mar Average"," Afghanistan"," AFG",2033
"148",17.669603," Apr Average"," Afghanistan"," AFG",2033
"149",23.099712," May Average"," Afghanistan"," AFG",2033
"150",28.780262," Jun Average"," Afghanistan"," AFG",2033
"151",31.14474," Jul Average"," Afghanistan"," AFG",2033
"152",30.409729," Aug Average"," Afghanistan"," AFG",2033
"153",25.792946," Sep Average"," Afghanistan"," AFG",2033
"154",18.03141," Oct Average"," Afghanistan"," AFG",2033
"155",10.24374," Nov Average"," Afghanistan"," AFG",2033
"156",5.785214," Dec Average"," Afghanistan"," AFG",2033
"157",2.5381124," Jan Average"," Afghanistan"," AFG",2034
"158",5.3837714," Feb Average"," Afghanistan"," AFG",2034
"159",10.83763," Mar Average"," Afghanistan"," AFG",2034
"160",16.597317," Apr Average"," Afghanistan"," AFG",2034
"161",22.01988," May Average"," Afghanistan"," AFG",2034
"162",27.38857," Jun Average"," Afghanistan"," AFG",2034
"163",29.966702," Jul Average"," Afghanistan"," AFG",2034
"164",28.604763," Aug Average"," Afghanistan"," AFG",2034
"165",24.44675," Sep Average"," Afghanistan"," AFG",2034
"166",17.834677," Oct Average"," Afghanistan"," AFG",2034
"167",10.409405," Nov Average"," Afghanistan"," AFG",2034
"168",5.024554," Dec Average"," Afghanistan"," AFG",2034
"169",-2.7658787," Jan Average"," Afghanistan"," AFG",2035
"170",-0.20057033," Feb Average"," Afghanistan"," AFG",2035
"171",4.9250436," Mar Average"," Afghanistan"," AFG",2035
"172",11.121426," Apr Average"," Afghanistan"," AFG",2035
"173",16.762703," May Average"," Afghanistan"," AFG",2035
"174",22.474155," Jun Average"," Afghanistan"," AFG",2035
"175",25.879288," Jul Average"," Afghanistan"," AFG",2035
"176",24.012548," Aug Average"," Afghanistan"," AFG",2035
"177",18.332273," Sep Average"," Afghanistan"," AFG",2035
"178",11.584556," Oct Average"," Afghanistan"," AFG",2035
"179",4.391806," Nov Average"," Afghanistan"," AFG",2035
"180",-1.3557265," Dec Average"," Afghanistan"," AFG",2035
"181",-0.07373123," Jan Average"," Afghanistan"," AFG",2036
"182",2.312207," Feb Average"," Afghanistan"," AFG",2036
"183",7.273078," Mar Average"," Afghanistan"," AFG",2036
"184",14.353851," Apr Average"," Afghanistan"," AFG",2036
"185",20.165844," May Average"," Afghanistan"," AFG",2036
"186",25.361431," Jun Average"," Afghanistan"," AFG",2036
"187",27.130974," Jul Average"," Afghanistan"," AFG",2036
"188",25.757683," Aug Average"," Afghanistan"," AFG",2036
"189",20.031008," Sep Average"," Afghanistan"," AFG",2036
"190",13.468897," Oct Average"," Afghanistan"," AFG",2036
"191",6.666966," Nov Average"," Afghanistan"," AFG",2036
"192",0.95642394," Dec Average"," Afghanistan"," AFG",2036
"193",9.452476," Jan Average"," Albanie"," ALB",2037
"194",9.015569," Feb Average"," Albanie"," ALB",2037
"195",10.44588," Mar Average"," Albanie"," ALB",2037
"196",13.013782," Apr Average"," Albanie"," ALB",2037
"197",16.340656," May Average"," Albanie"," ALB",2037
"198",22.725325," Jun Average"," Albanie"," ALB",2037
"199",26.143106," Jul Average"," Albanie"," ALB",2037
"200",25.68146," Aug Average"," Albanie"," ALB",2037
"201",21.75174," Sep Average"," Albanie"," ALB",2037
"202",17.759336," Oct Average"," Albanie"," ALB",2037
"203",13.893813," Nov Average"," Albanie"," ALB",2037
"204",11.186378," Dec Average"," Albanie"," ALB",2037
"205",9.918074," Jan Average"," Albanie"," ALB",2038
"206",9.256283," Feb Average"," Albanie"," ALB",2038
"207",11.194647," Mar Average"," Albanie"," ALB",2038
"208",13.875723," Apr Average"," Albanie"," ALB",2038
"209",17.819931," May Average"," Albanie"," ALB",2038
"210",23.213526," Jun Average"," Albanie"," ALB",2038
"211",26.595686," Jul Average"," Albanie"," ALB",2038
"212",26.133694," Aug Average"," Albanie"," ALB",2038
"213",22.20256," Sep Average"," Albanie"," ALB",2038
"214",17.673468," Oct Average"," Albanie"," ALB",2038
"215",13.640126," Nov Average"," Albanie"," ALB",2038
"216",11.133748," Dec Average"," Albanie"," ALB",2038
"217",9.364304," Jan Average"," Albanie"," ALB",2039
"218",9.500832," Feb Average"," Albanie"," ALB",2039
"219",10.642334," Mar Average"," Albanie"," ALB",2039
"220",13.431233," Apr Average"," Albanie"," ALB",2039
"221",17.53993," May Average"," Albanie"," ALB",2039
"222",22.375982," Jun Average"," Albanie"," ALB",2039
"223",27.175783," Jul Average"," Albanie"," ALB",2039
"224",27.455587," Aug Average"," Albanie"," ALB",2039
"225",22.494345," Sep Average"," Albanie"," ALB",2039
"226",16.895649," Oct Average"," Albanie"," ALB",2039
"227",13.210088," Nov Average"," Albanie"," ALB",2039
"228",10.401694," Dec Average"," Albanie"," ALB",2039
"229",8.020123," Jan Average"," Albanie"," ALB",2021
"230",8.741258," Feb Average"," Albanie"," ALB",2021
"231",10.566115," Mar Average"," Albanie"," ALB",2021
"232",13.396467," Apr Average"," Albanie"," ALB",2021
"233",17.750608," May Average"," Albanie"," ALB",2021
"234",22.796213," Jun Average"," Albanie"," ALB",2021
"235",26.37189," Jul Average"," Albanie"," ALB",2021
"236",26.800684," Aug Average"," Albanie"," ALB",2021
"237",22.591307," Sep Average"," Albanie"," ALB",2021
"238",16.779146," Oct Average"," Albanie"," ALB",2021
"239",13.189096," Nov Average"," Albanie"," ALB",2021
"240",9.648985," Dec Average"," Albanie"," ALB",2021
"241",10.6144905," Jan Average"," Albanie"," ALB",2022
"242",10.574595," Feb Average"," Albanie"," ALB",2022
"243",11.722846," Mar Average"," Albanie"," ALB",2022
"244",14.012851," Apr Average"," Albanie"," ALB",2022
"245",18.142143," May Average"," Albanie"," ALB",2022
"246",22.44744," Jun Average"," Albanie"," ALB",2022
"247",25.283768," Jul Average"," Albanie"," ALB",2022
"248",24.546799," Aug Average"," Albanie"," ALB",2022
"249",21.174145," Sep Average"," Albanie"," ALB",2022
"250",16.698997," Oct Average"," Albanie"," ALB",2022
"251",12.72212," Nov Average"," Albanie"," ALB",2022
"252",11.127127," Dec Average"," Albanie"," ALB",2022
"253",9.539645," Jan Average"," Albanie"," ALB",2023
"254",9.711041," Feb Average"," Albanie"," ALB",2023
"255",11.154509," Mar Average"," Albanie"," ALB",2023
"256",13.993588," Apr Average"," Albanie"," ALB",2023
"257",17.875446," May Average"," Albanie"," ALB",2023
"258",21.894379," Jun Average"," Albanie"," ALB",2023
"259",24.823427," Jul Average"," Albanie"," ALB",2023
"260",24.726797," Aug Average"," Albanie"," ALB",2023
"261",21.38661," Sep Average"," Albanie"," ALB",2023
"262",17.273272," Oct Average"," Albanie"," ALB",2023
"263",14.12998," Nov Average"," Albanie"," ALB",2023
"264",11.244323," Dec Average"," Albanie"," ALB",2023
"265",6.4911113," Jan Average"," Albanie"," ALB",2024
"266",7.1991315," Feb Average"," Albanie"," ALB",2024
"267",9.516244," Mar Average"," Albanie"," ALB",2024
"268",12.91181," Apr Average"," Albanie"," ALB",2024
"269",16.585623," May Average"," Albanie"," ALB",2024
"270",20.857428," Jun Average"," Albanie"," ALB",2024
"271",25.348978," Jul Average"," Albanie"," ALB",2024
"272",26.696," Aug Average"," Albanie"," ALB",2024
